Country,Year,Month,Name Of The Service Area Having Telephone Connections,"Total Telephone Connections  (UOM:Number), Scaling Factor:1000000"
India,"Calendar Year (Jan - Dec), 2023","February, 2023",North East,12.44
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Odisha,33.44
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Punjab,36.84
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Rajasthan,64.23
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Tamil Nadu,81.16
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Uttar Pradesh (East),99.72
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Uttar Pradesh (West),63.53
India,"Calendar Year (Jan - Dec), 2023","February, 2023",West Bengal,57.11
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Kolkata,24.95
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Delhi,58.41
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Mumbai,37.73
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Andhra Pradesh,85.06
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Assam,25.09
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Bihar,91.44
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Gujarat,67.17
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Haryana,27.07
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Himachal Pradesh,8.96
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Jammu & Kashmir,12.38
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Karnataka,69.27
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Kerala,43.93
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Madhya Pradesh,77.69
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Maharashtra,93.03
India,"Calendar Year (Jan - Dec), 2023","January, 2023",North East,12.42
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Odisha,33.69
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Punjab,36.87
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Rajasthan,64.03
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Tamil Nadu,81.08
